dataset_id,protocol_id,n_sub,replicate_id,classifier_id,fold_id,auc
synthetic_pilot,cv5,50,4,dtree,3,0.75
synthetic_pilot,cv5,50,4,dtree,4,0.625
synthetic_pilot,cv5,50,4,dtree,5,0.5
synthetic_pilot,cv5,50,4,svm,1,0.25
synthetic_pilot,cv5,50,4,svm,2,0.625
synthetic_pilot,cv5,50,4,svm,3,0.0625
synthetic_pilot,cv5,50,4,svm,4,0.5625
synthetic_pilot,cv5,50,4,svm,5,0.375
synthetic_pilot,cv5,50,4,rf,1,0.4375
synthetic_pilot,cv5,50,4,rf,2,0.6875
synthetic_pilot,cv5,50,4,rf,3,0.5
synthetic_pilot,cv5,50,4,rf,4,0.6875
synthetic_pilot,cv5,50,4,rf,5,0.28125
synthetic_pilot,cv5,50,4,gb,1,0.65625
synthetic_pilot,cv5,50,4,gb,2,0.75
synthetic_pilot,cv5,50,4,gb,3,0.75
synthetic_pilot,cv5,50,4,gb,4,0.5
synthetic_pilot,cv5,50,4,gb,5,0.65625
synthetic_pilot,cv5,50,5,logreg,1,0.9375
synthetic_pilot,cv5,50,5,logreg,2,0.6875
synthetic_pilot,cv5,50,5,logreg,3,0.625
synthetic_pilot,cv5,50,5,logreg,4,0.75
synthetic_pilot,cv5,50,5,logreg,5,0.875
synthetic_pilot,cv5,50,5,knn,1,1.0
synthetic_pilot,cv5,50,5,knn,2,0.71875
synthetic_pilot,cv5,50,5,knn,3,0.625
synthetic_pilot,cv5,50,5,knn,4,0.9375
synthetic_pilot,cv5,50,5,knn,5,0.96875
synthetic_pilot,cv5,50,5,dtree,1,0.625
synthetic_pilot,cv5,50,5,dtree,2,0.3125
synthetic_pilot,cv5,50,5,dtree,3,0.625
synthetic_pilot,cv5,50,5,dtree,4,0.75
synthetic_pilot,cv5,50,5,dtree,5,0.9375
synthetic_pilot,cv5,50,5,svm,1,0.9375
synthetic_pilot,cv5,50,5,svm,2,0.75
synthetic_pilot,cv5,50,5,svm,3,0.75
synthetic_pilot,cv5,50,5,svm,4,0.75
synthetic_pilot,cv5,50,5,svm,5,1.0
synthetic_pilot,cv5,50,5,rf,1,0.8125
synthetic_pilot,cv5,50,5,rf,2,0.5
synthetic_pilot,cv5,50,5,rf,3,0.84375
synthetic_pilot,cv5,50,5,rf,4,0.9375
synthetic_pilot,cv5,50,5,rf,5,1.0
synthetic_pilot,cv5,50,5,gb,1,0.90625
synthetic_pilot,cv5,50,5,gb,2,0.4375
synthetic_pilot,cv5,50,5,gb,3,0.8125
synthetic_pilot,cv5,50,5,gb,4,0.5
synthetic_pilot,cv5,50,5,gb,5,0.875
synthetic_pilot,cv5,50,6,logreg,1,0.5625
synthetic_pilot,cv5,50,6,logreg,2,0.6875
synthetic_pilot,cv5,50,6,logreg,3,0.5
synthetic_pilot,cv5,50,6,logreg,4,0.75
synthetic_pilot,cv5,50,6,logreg,5,0.5
synthetic_pilot,cv5,50,6,knn,1,0.65625
synthetic_pilot,cv5,50,6,knn,2,0.875
synthetic_pilot,cv5,50,6,knn,3,0.5625
synthetic_pilot,cv5,50,6,knn,4,0.5625
synthetic_pilot,cv5,50,6,knn,5,0.625
synthetic_pilot,cv5,50,6,dtree,1,0.3125
synthetic_pilot,cv5,50,6,dtree,2,0.8125
synthetic_pilot,cv5,50,6,dtree,3,0.6875
synthetic_pilot,cv5,50,6,dtree,4,0.625
synthetic_pilot,cv5,50,6,dtree,5,0.5
synthetic_pilot,cv5,50,6,svm,1,0.5625
synthetic_pilot,cv5,50,6,svm,2,0.1875
synthetic_pilot,cv5,50,6,svm,3,0.5
synthetic_pilot,cv5,50,6,svm,4,0.5625
synthetic_pilot,cv5,50,6,svm,5,0.5
synthetic_pilot,cv5,50,6,rf,1,0.34375
synthetic_pilot,cv5,50,6,rf,2,0.75
synthetic_pilot,cv5,50,6,rf,3,0.8125
synthetic_pilot,cv5,50,6,rf,4,0.65625
synthetic_pilot,cv5,50,6,rf,5,0.75
synthetic_pilot,cv5,50,6,gb,1,0.84375
synthetic_pilot,cv5,50,6,gb,2,0.625
